scorer,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000
bodyparts,Eye,Eye,Eye,Snout,Snout,Snout,Whisker,Whisker,Whisker,Right_Forepaw,Right_Forepaw,Right_Forepaw,Left_Forepaw,Left_Forepaw,Left_Forepaw
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
14,330.034668,28.18690872,0.99999094,433.6439819,68.39241791,0.999984264,354.4890442,112.1125259,0.999987364,243.5830688,266.4323425,0.999998808,331.8028564,234.479187,0.999920964
15,330.8218689,28.80129814,0.999988556,434.9721069,69.49807739,0.999987006,359.6720276,112.1033096,0.99987483,243.5526276,266.5513611,0.999998569,331.6932373,234.5734253,0.999918461
16,330.2271729,28.38746071,0.999992013,435.4694519,66.72196198,0.999993205,354.0611877,112.0529861,0.999971271,243.4475098,266.4599304,0.999998808,331.5413208,234.3597412,0.999923825
17,330.2668457,28.63951492,0.999992013,435.9920044,67.43579102,0.999993563,355.8169556,111.9972763,0.999985576,243.4291687,266.3517456,0.999998808,331.7287598,234.5846252,0.999932647
18,330.4440308,28.80081177,0.999992013,435.9342957,68.15498352,0.999986887,356.3652649,108.4418716,0.999866962,243.3164368,266.3155518,0.999998808,331.3564453,233.9438171,0.999926209
19,330.1478271,28.11894989,0.999991179,435.3977661,67.67076111,0.999993563,353.4762573,109.6474228,0.999797165,243.4542694,266.1855774,0.999998808,330.7423401,234.2342682,0.999913335
20,330.1998291,28.79721642,0.999990702,435.2353821,66.96231842,0.99999249,353.3473511,110.0430145,0.999948382,243.3634644,266.2516479,0.999998808,331.2515259,234.5797729,0.999920845
21,330.0736084,28.85791588,0.999990344,436.5550232,67.68900299,0.999992251,354.9920959,111.8830719,0.999977589,243.0984802,266.3821411,0.999998927,331.4579468,234.4217072,0.999927402
22,330.526062,29.00136948,0.999987483,435.674469,67.50228882,0.999987602,356.6530457,111.0926514,0.999980688,243.3904419,266.4471741,0.999999046,331.6059875,234.1591034,0.999909759
23,330.1133118,28.44847107,0.999990225,434.7545471,69.57616425,0.99998939,353.588562,111.6622696,0.999967575,243.2231293,266.2562561,0.999999046,331.3418884,234.5941925,0.99990952
24,330.35672,29.15149307,0.999991536,434.9328308,71.47856903,0.999984503,354.0727844,112.4074936,0.999987721,243.2169037,266.2770081,0.999999166,332.0188904,235.2654724,0.999930859
25,330.0410461,29.27160454,0.999991894,434.8190918,70.93640137,0.999985218,352.8645935,110.2707367,0.999978304,243.1902466,266.147522,0.999999166,332.1119385,235.029541,0.999932766
26,330.1498413,28.74093056,0.999991536,434.1807861,70.99968719,0.999985695,353.5166931,111.5553513,0.999973297,243.3919983,266.0742798,0.999999046,331.7187805,234.9997864,0.999925017
27,330.3236389,28.94940186,0.999991775,434.3963318,71.33866882,0.999981999,353.1678772,110.2220459,0.999976993,243.379715,266.12323,0.999999046,331.8910522,235.065094,0.999931335
28,330.3557434,29.01721573,0.999991536,434.8898926,71.78800201,0.999976277,352.2010803,110.7177734,0.999964952,243.1425323,266.2144775,0.999999046,332.1914673,235.2132416,0.99993515
29,330.2569885,28.95230103,0.999991417,434.776123,71.88722229,0.999972701,353.230957,111.9375305,0.999978423,243.1423492,266.2266235,0.999999046,332.2011719,235.1534119,0.999936581
30,330.130188,29.17988586,0.999991059,434.6601257,71.76164246,0.999979377,353.4417114,111.5927505,0.999980807,243.0283203,266.3303528,0.999999046,332.0265808,235.0003815,0.99993372
31,330.0606689,29.3349514,0.999991775,434.624939,71.75101471,0.999978185,352.5466003,111.7045975,0.99997282,243.1523743,266.3495789,0.999999046,332.0682373,235.2385406,0.999931455
32,329.8518982,28.71047211,0.999992013,434.1876831,71.2066803,0.999980211,353.1056824,111.8926315,0.999981403,243.4289856,266.3815613,0.999999285,331.5411682,234.4826813,0.999907136
33,329.8755493,28.71504593,0.999990582,434.6754761,71.87940216,0.999977589,354.3406982,111.7931061,0.999988198,244.076828,266.5128174,0.999999046,332.3883972,234.5548401,0.999928117
34,331.1327209,28.41422462,0.999992251,433.8514099,71.09435272,0.999970913,365.8987732,108.5873795,0.999709547,246.3291016,266.1511841,0.999997377,345.0290527,231.3230438,0.999964476
35,331.5216675,27.65711212,0.999991775,432.668335,74.85093689,0.999951482,365.4693604,113.056694,0.973127484,246.5982208,266.082428,0.999997854,343.7522888,231.8544464,0.999859214
36,330.6445923,26.76495934,0.999990225,436.0747681,76.27815247,0.999973297,370.0342102,116.5545502,0.99995935,247.3919525,267.7051086,0.999997377,344.3891602,235.3927917,0.99991262
37,330.6120605,27.21417999,0.999986529,432.4639587,72.02758789,0.999922872,367.7888489,109.1930771,0.999427736,243.1174469,266.843689,0.999998331,344.6567993,235.2783813,0.999881268
38,330.8858643,27.38035583,0.999987245,432.5503235,75.43881226,0.999947548,332.4698486,90.74023438,0.997490048,242.3750916,267.546051,0.99999845,343.9072266,235.4320831,0.999915004
39,330.4664001,27.20801353,0.999990225,435.3731079,76.22576141,0.999976754,363.4865417,112.1976547,0.999969363,242.8431091,267.4715881,0.999998331,344.2153931,235.7188568,0.999925971
40,330.4681091,27.56898499,0.999990821,433.0817261,71.23497772,0.999962687,360.9732666,110.8751831,0.999949694,243.0755463,267.2662659,0.999998569,343.3238831,235.8213501,0.999940753
41,331.0072937,27.2656765,0.999992609,434.1098022,73.39517212,0.999951959,367.085968,113.2876053,0.998645842,242.225235,267.6731567,0.999998212,342.355072,236.077652,0.999959826
42,330.5115662,26.89227295,0.999989867,434.4715576,74.58339691,0.999968886,363.1350403,111.7683868,0.999966025,242.5061188,267.2518921,0.999998569,341.2199097,235.8957672,0.999964714
43,330.234436,27.10150337,0.999988914,437.072113,73.73713684,0.999970198,365.6559143,114.0983429,0.999938726,241.8857574,267.3332214,0.999998569,340.5235291,235.6239471,0.999966621
44,330.9613037,27.79785156,0.99998951,433.2336426,72.17743683,0.999936104,367.287384,113.2569046,0.999946952,240.7498474,266.1642456,0.999995112,337.9685364,236.1721802,0.999965429
45,331.6231995,27.76297188,0.999989152,433.0993958,72.34017181,0.999898791,363.825592,113.4606094,0.999930978,239.2273254,266.4910889,0.999993563,336.3580017,235.2677917,0.999961972
46,330.428894,27.27221107,0.999990225,434.6266479,75.10286713,0.999975562,364.1332397,114.2553558,0.999602497,238.8098145,267.2940674,0.999990821,333.7826233,235.5901184,0.999938607
47,330.5715942,27.90014458,0.999988317,435.8617554,70.03638458,0.999981999,359.2620544,113.8550262,0.999991536,238.5924683,266.7539063,0.999992847,333.789917,235.8697205,0.999929428
48,330.6677551,28.0159111,0.999990582,433.3045349,67.78988647,0.999980211,359.3562012,113.0656052,0.999986053,238.4932709,266.2976074,0.99999392,334.6212158,235.6842651,0.999951601
49,330.6762085,28.307621,0.999988914,434.3866882,69.81581116,0.999981642,360.3673706,112.137207,0.999930739,238.5531616,266.3010559,0.999995112,334.7329712,235.6832581,0.999949574
50,330.8925171,28.12460518,0.999990702,433.1166382,71.36170197,0.999962568,357.2542419,111.7410126,0.999980807,239.1202698,266.5088806,0.999995828,334.3576355,236.2260742,0.999941111
51,330.418335,27.91626549,0.999991059,433.5020447,73.52658081,0.999968886,358.1824951,111.781189,0.999959111,239.1847839,266.5837402,0.999995828,334.567627,236.2425079,0.999948859
